band_number,center_wavelength,band_width
1,712.3,19.8
2,729.2,19.9
3,746.0,20
4,762.9,20.1
5,779.7,20.2
6,796.6,20.3
7,813.4,20.4
8,830.3,20.4
9,847.2,20.5
10,864.0,20.5
11,880.9,20.6
12,897.7,20.6
13,914.6,20.6
14,931.4,20.7
15,948.3,20.7
16,965.1,20.8
17,982.0,20.8
18,998.8,20.9
19,1015.7,20.9
20,1032.5,20.9
21,1049.4,21
22,1066.2,21
23,1083.1,21.1
24,1099.9,21.1
25,1116.8,21.1
26,1133.6,21.2
27,1150.5,21.2
28,1167.3,21.2
29,1184.2,21.3
30,1201.1,21.3
31,1217.9,21.3
32,1234.8,21.4
33,1251.6,21.4
34,1268.5,21.4
35,1285.3,21.4
36,1302.2,21.5
37,1319.0,21.5
38,1335.9,21.5
39,1352.7,21.5
40,1369.6,21.6
41,1386.4,21.6
42,1403.3,21.6
43,1420.1,21.6
44,1437.0,21.7
45,1453.8,21.7
46,1470.7,21.7
47,1487.5,21.7
48,1504.4,21.7
49,1521.2,21.8
50,1538.1,21.8
51,1555.0,21.8
52,1571.8,21.8
53,1588.7,21.8
54,1605.5,21.8
55,1622.4,21.9
56,1639.2,21.9
57,1656.1,21.9
58,1672.9,21.9
59,1689.8,21.9
60,1706.6,21.9
61,1723.5,21.9
62,1740.3,21.9
63,1757.2,22
64,1774.0,22
65,1790.9,22
66,1807.7,22
67,1824.6,22
68,1841.4,22
69,1858.3,22
70,1875.1,22
71,1892.0,22
72,1908.9,22
73,1925.7,22
74,1942.6,22
75,1959.4,22
76,1976.3,22
77,1993.1,22
78,2010.0,22
79,2026.8,22
80,2043.7,22
81,2060.5,22.1
82,2077.4,22.1
83,2094.2,22.1
84,2111.1,22.1
85,2127.9,22.1
86,2144.8,22.1
87,2161.6,22.1
88,2178.5,22.1
89,2195.3,22.1
90,2212.2,22.1
91,2229.0,22.1
92,2245.9,22
93,2262.8,22
94,2279.6,22
95,2296.5,22
96,2313.3,22
97,2330.2,22
98,2347.0,22
99,2363.9,22
100,2380.7,22
101,2397.6,22
102,2414.4,22
103,2431.3,22
104,2448.1,22
105,2465.0,22
106,2481.8,22
107,2498.7,22
108,2515.5,22
109,2532.4,22
110,2549.2,22
111,2566.1,22
112,2582.9,22
113,2599.8,22
114,2616.7,22
115,2633.5,21.9
116,2650.4,21.9
117,2667.2,21.9
118,2684.1,21.9
119,2700.9,21.9
120,2717.8,21.9
121,2734.6,21.9
122,2751.5,21.9
123,2768.3,21.9
124,2785.2,21.9
125,2802.0,21.9
126,2818.9,21.9
127,2835.7,21.9
128,2852.6,21.9
129,2869.4,21.8
130,2886.3,21.8
131,2903.1,21.8
132,2920.0,21.8
133,2936.8,21.8
134,2953.7,21.8
135,2970.6,21.8
136,2987.4,21.8
137,3004.3,21.8
138,3021.1,21.8
139,3038.0,21.8
140,3054.8,21.8
141,3071.7,21.8
142,3088.5,21.8
143,3105.4,21.8
144,3122.2,21.7
145,3139.1,21.7
146,3155.9,21.7
147,3172.8,21.7
148,3189.6,21.7
149,3206.5,21.7
150,3223.3,21.7
151,3240.2,21.7
152,3257.0,21.7
153,3273.9,21.7
154,3290.7,21.7
155,3307.6,21.7
156,3324.5,21.7
157,3341.3,21.7
158,3358.2,21.7
159,3375.0,21.7
160,3391.9,21.7
161,3408.7,21.7
162,3425.6,21.7
163,3442.4,21.7
164,3459.3,21.7
165,3476.1,21.7
166,3493.0,21.7
167,3509.8,21.7
168,3526.7,21.7
169,3543.5,21.7
170,3560.4,21.7
171,3577.2,21.7
172,3594.1,21.7
173,3610.9,21.7
174,3627.8,21.7
175,3644.6,21.7
176,3661.5,21.7
177,3678.3,21.7
178,3695.2,21.7
179,3712.1,21.7
180,3728.9,21.7
181,3745.8,21.7
182,3762.6,21.7
183,3779.5,21.7
184,3796.3,21.7
185,3813.2,21.7
186,3830.0,21.7
187,3846.9,21.7
188,3863.7,21.7
189,3880.6,21.7
190,3897.4,21.7
191,3914.3,21.7
192,3931.1,21.7
193,3948.0,21.8
194,3964.8,21.8
195,3981.7,21.8
196,3998.5,21.8
197,4015.4,21.8
198,4032.2,21.8
199,4049.1,21.8
200,4066.0,21.8
201,4082.8,21.9
202,4099.7,21.9
203,4116.5,21.9
204,4133.4,21.9
205,4150.2,21.9
206,4167.1,21.9
207,4183.9,22
208,4200.8,22
209,4217.6,22
210,4234.5,22
211,4251.3,22
212,4268.2,22
213,4285.0,22.1
214,4301.9,22.1
215,4318.7,22.1
216,4335.6,22.1
217,4352.4,22.2
218,4369.3,22.2
219,4386.1,22.2
220,4403.0,22.2
221,4419.9,22.3
222,4436.7,22.3
223,4453.6,22.3
224,4470.4,22.4
225,4487.3,22.4
226,4504.1,22.4
227,4521.0,22.4
228,4537.8,22.5
229,4554.7,22.5
230,4571.5,22.5
231,4588.4,22.6
232,4605.2,22.6
233,4622.1,22.7
234,4638.9,22.7
235,4655.8,22.7
236,4672.6,22.8
237,4689.5,22.8
238,4706.3,22.8
239,4723.2,22.9
240,4740.0,22.9
241,4756.9,23
242,4773.8,23
243,4790.6,23.1
244,4807.5,23.1
245,4824.3,23.2
246,4841.2,23.2
247,4858.0,23.3
248,4874.9,23.3
249,4891.7,23.4
250,4908.6,23.4
251,4925.4,23.5
252,4942.3,23.5
253,4959.1,23.6
254,4976.0,23.6
255,4992.8,23.7
256,5009.7,23.8
